,Score,Sentiment
0,4,Nice day 
1,4,Yea  bt u love me!!
2,0,Where's a Windows machine when you need one 
3,4,@BarelyKnit aite cul take care 
4,0,@PerezHilton damn you for posting this so last minute!!! I would of gone to the screening but in the valley and wont make it on time 
5,4,Weather is amazingly pleasing today 
6,0,I feel worse today than I did yesterday.  Why does my school have to be stupid and make this a full day? I hate whoever thought of that.
7,4,"@Adavis8 I cant wait to hear about how everything went.....  Ok cool when u get settled tonight call me, I will be up tonight! lol"
8,4,Just took a blue transformer  now to transform! Assend!!!!
9,4,@JoJoWright ask your mother. 
10,4,@Wossy Stole your ear! Has that happened before or is it the first time?  x
11,4,"@Mangowe mention diet, singing, confidence, hypnotism, psychic, charity, football and you'll gain a load more spammers "
12,4,but ... i think i can do miracles in 400 days 
13,4,@KSBong classic 
14,0,mad cause i cant see the awards on tv 
15,0,"Hmm, I wish my hubby didn't have to go be a cop when there is a protest in Brighton    I worry about him."
16,4,@modernmami I often feel an extra week is beneficial. 
17,0,Power company says we should have power by 12.30 tomorrow. WTF?? It wasn't even that bad of a storm! The rest of the block has theirs on. 
18,4,@shybutflyy np  what's going on with ya? New member of the late night crew I see.
19,0,@honeybearbee ME NEITHER. 
20,0,@CommentLuv the only way I know how to get in is through web interface. 
21,0,missing someone. guess who? 
22,0,what can i be doing?? coding 
23,4,"@GrudgeJudy Oh good...I just saw you needed a jump. If JoKnee doesn't make it, let me know, I'll come jump you. Lol. "
24,4,@polyorpheus I agree. 
25,4,@katlilytwit I knew what you meant. 
26,4,pretty great night 
27,4,@wow_nK touch my muffin 
28,0,@feelfreetobeme i don't have sims 3!  i didn't get it yet cuz i know i'll just waste away in front of it &amp; now's not the time. try it!
29,0,Ugggh i'm so bad with fractions.....i want to cry. 
30,4,@clareday Yes Thats the way to look at it  Sometimes things happen for a reason. Big Hugs in the meantime though cos it is daunting
31,0,bout to go make some extra cash!!! Get off work to work some more  but least it will be extra mula!
32,0,@LilPsycho Why the  face?
33,0,@Lestat_Manson What month are we in right now? I'm confused now..... 
34,0,My sunburn hurts 
35,0,said no because she wants to go on the field trip today which is happening whether it's storming or not.  So no sleeping in for me! 
36,0,rejected.... again  2 supermarkets within a month... not good. I NEED A JOBBB!
37,0,"Also, I just realized last night how flirtatous I am at work. Woops. I WAS the only girl there last night "
38,0,So Jon &amp; Kate are separating. I'm broken. NOT! But my condolences do go out 2 those in DC affected by the RED line train crash. 
39,4,@ShawneyJ How very exciting! Have fun! 
40,0,Dammit. We had to switch bus. 
41,0,wanting to go to samantha's house or have her come here 
42,4,@bobbyllew Do you know when tony's round ireland with a fridge is going to come out? Micheal Sheen would have made a good him 
43,4,Is well and truly falling in love with THR most amazing girl in THE world. Happy times 
44,4,tonight tonight tonight   
45,0,Ran into this girl I really like on my walk tonight. I wish I could gather up the nerve to say something. 
46,4,@MarketingVeep Let me know when you find that book 
47,4,...is Turning Up the Volume. 200 Watts Can't Be Wrong 
48,0,and i don't go to school until.. next friday 
49,4,"Woke up at 4am, rushed to get my shower, THEN remembered that I don't have to be in until 8:30 ish. And the 7AM train gets to Union at 8 "
50,0,I can't find my camera cord thing 
51,4,@flexiam hope you all had a great time...God Bless. 
52,4,@JasonBradbury Its nice to see tweeting on the cusp of technology married with TV! 
53,0,Keep goin laura u can do it! Only 2 hours 50 mins 2 go! I want my leaba! 
54,4,So nice out today ^-^ &amp; it's my grandma's b-day  gonna go to the Best restauraut I have ever been 2 
55,4,@TigerMystic Same to you 
56,4,"That was mos def the LO Show tonight.  Magic did a good job of answering back this round, but once again, we were just better. Go Lakers!"
57,0,It's official- our gang is getting smaller by the day  def gonna get on that Toronto trip
58,4,@spicyclubsauce hannah! i dont know yet but if they do forsuree! 
59,4,@Adamxtreme the person who can make it good is you. Go out and do something fun! 
60,0,(@rgraham7590) Followup on Note to self: Time to order a replacement iPhone...   #notetoself
61,4,@AMPRGroup wonderful  summer summer summertime!!! Its going to b a blazinnn july girl!
62,4,@ThePekingDuck trying 2 decide how much more 2 write abt TAM. Don't really want to get fried. Hasn't the Duck been fried before?  #GFW
63,4,HOJE ! Stand up Comedy com Danilo Gentili 
64,4,@LannaGirl and I missed the midnight train to Georgia 
65,4,Time to get the night started.. hopefully it ends well 
66,4,Says happy birthday Nadine 
67,0,Now to tackle the kiddo's room. Theres a mountain of toys as high as Everest 
68,0,Waking up for church 
69,4,"@jtunkelo &quot;On Writing&quot; is great! And for some Finnish touch, I also liked Mika Waltari's &quot;Aiotko kirjailijaksi?&quot; a lot "
70,4,@PaigeLovesMcFly it must be really good thn!!!!!!! lol!      â¥ â¥ â¥ â¥
71,0,@phan_cy @xomwan86 maybe i'll do the video next week.... maybe.. lol =\ i just lost interest in it... and plus i kept sneezing..no help 
72,4,@spaceassassin well it does the work right?  haha very creative
73,4,@witenike I love lazy hot Sundays too! Nothing better than baseball and beer 
74,0,"@matthewcarey i have flu  have been sleeping most of the day,  feels like morning time for me now!"
75,4,"Bought new sunglasses, they are fly-esque but I love them!  On the way to No Doubt!! http://yfrog.com/5iizaj"
76,0,"fine fine fine, i miss you "
77,0,@summertime_grl i was told to stay at home by the doc 
78,0,"lack of sleep is making me feel sick, so I don't particularly fancy going out to get some shopping but it seems that's the only way. "
79,4,"got up at six this morning o_O but is now ready for school, so it's all good  aching a little after netball though. x"
80,4,@jadeshecky I'm doing Kenpo Cardio+ today - It's a great alternative to Kenpo X but definitely takes some coordination! 
81,0,"I NEED TO KNOW WHATS THE NEW SONGS CALLED    TOM,DANNY,DOUGIE,HARRY TELL ME ! PLEASE lol"
82,4,ive had long day be on in the mornin... my pillow is callin me  ... nite nite my Tweet Friends 
83,0,@jaxysharptooth I miss you... 
84,4,Yayy it's working again noww   
85,4,FTCH.PK Mojocash: Look forward to it!  : Mojocash http://tinyurl.com/osmgcm
